NIM;ANGKATAN;SEMESTER;KODE_MK;NAMA_MK;SKS;NILAI;GRADE
10110310002;2010;1011;EM100;EM100 Dasar-dasar Bisnis;3;57;C
10110310002;2010;1011;EM180;EM180 Matematika Bisnis;3;70;B
10110310002;2010;1011;TI100;TI100 Algoritma dan Pemrograman;4;57;C
10110310002;2010;1011;TI101;TI101 Matematika Diskrit;3;59;C
10110310002;2010;1011;TI110;TI110 Pengantar Teknologi Multimedia;3;74;B
10110310002;2010;1011;UM121;UM121 Bahasa Inggris 1;2;59;C
10110310002;2010;1011;UM151;UM151 Agama;3;71;B
10110310002;2010;1021;EM201;EM201 Dasar-dasar Manajemen;3;56;C
10110310002;2010;1021;IK402;IK402 Komunikasi Interpersonal;2;57;C
10110310002;2010;1021;SI200;SI200 Pengantar Sistem Informasi;2;71;B
10110310002;2010;1021;SI214;SI214 Manajemen Operasional;3;71;
10110310002;2010;1021;TI220;TI220 Metode Perancangan Program;3;74;B
10110310002;2010;1021;UM141;UM141 Bahasa Indonesia;3;58;C
10110310002;2010;1021;UM160;UM160 Pendidikan Kewarganegaraan;3;59;C
10110310002;2010;1021;UM222;UM222 Bahasa Inggris 2;2;55;C
10110310002;2010;1111;EM372;EM372 Pengantar Ekonomi;2;70;B
10110310002;2010;1111;SI301;SI301 Sistem Informasi Manajemen;3;89;
10110310002;2010;1111;SI302;SI302 Analisis Proses Bisnis;2;98;A
10110310002;2010;1111;SI750;SI750 Etika Bisnis & Hukum;2;70;B
10110310002;2010;1111;SK304;SK304 Probabilitas dan Statistika;3;73;B
10110310002;2010;1111;TI330;TI330 Pengantar Teknologi Internet;3;74;B
10110310002;2010;1121;EM604;EM604 Technopreneurship;2;74;B
10110310002;2010;1121;SI420;SI420 Analisis dan Perancangan SI;3;57;C
10110310002;2010;1121;SI426;SI426 Interaksi Manusia Komputer;2;99;A
10110310002;2010;1121;SI431;SI431 Pemrograman Visual Lanjutan;3;57;C
10110310002;2010;1121;SK430;SK430 Jaringan Komputer;4;73;B
10110310002;2010;1121;TI403;TI403 Sistem Basis Data;4;59;C
10110310002;2010;1211;EA100;EA100 Pengantar Akuntansi 1;3;55;C
10110310002;2010;1211;SI511;SI511 Managemen Proyek SI;3;88;A
10110310002;2010;1211;SI520;SI520 Sistem dan Aplikasi Perusahaan 1;3;70;B
10110310002;2010;1211;SI521;SI521 Analisis & Perancangan SI Lanjutan;3;56;C
10110310002;2010;1211;SI522;SI522 Decision Support & BI Systems;3;72;B
10110310002;2010;1211;SI527;SI527 Enterprise Resource Planning;3;73;
10110310002;2010;1211;TI532;TI532 Pemograman Web;3;58;C
10110310002;2010;1221;EA410;EA410 Sistem Informasi Akuntansi Berbasis ICT 1;3;71;B
10110310002;2010;1221;SI415;SI415 Inovasi Teknologi Informasi;3;70;B
10110310002;2010;1221;SI612;SI612 E-Business;2;89;A
10110310002;2010;1221;SI624;SI624 Sistem dan Aplikasi Perusahaan 2;3;96;A
10110310002;2010;1221;SI628;SI628 ERP Terapan;3;74;B
10110310002;2010;1221;SI661;SI661 Proyek Sistem Informasi;4;88;A
10110310002;2010;1221;SI664;SI664 Metode Riset SI;3;97;A
10110310002;2010;1311;SI210;SI210 Pemrograman Visual;3;55;C
10110310002;2010;1311;SI723;SI723 Keamanan & Audit Sistem Informasi;3;96;A
10110310002;2010;1311;SI725;SI725 Knowledge Management;3;72;B
10110310002;2010;1311;SI729;SI729 Sistem dan Aplikasi Perusahaan 3;3;55;C
10110310002;2010;1311;SI860;SI860 Magang Kerja;4;87;A
10110310002;2010;1321;SI863;SI863 Tugas Akhir;6;93;A
10110310002;2010;1321;TI751;TI751 Seminar ICT;3;99;A
10110310002;2010;1322;SI325;SI325 Konsep Sistem Operasi;3;50;D
10110310004;2010;1011;EM180;Matematika Bisnis;3;58;C
10110310004;2010;1011;TI100;Algoritma dan Pemrograman;4;56;C
10110310004;2010;1011;TI101;Matematika Diskrit;3;55;C
10110310004;2010;1011;UM151;Agama;3;70;B
10110310004;2010;1021;EM201;Dasar-dasar Manajemen;3;58;
10110310004;2010;1021;SI200;Pengantar Sistem Informasi;2;57;C
10110310004;2010;1021;SI214;Manajemen Operasional;3;56;C
10110310004;2010;1021;TI220;Metode Perancangan Program;3;56;C
10110310004;2010;1021;UM141;Bahasa Indonesia;3;57;C
10110310004;2010;1021;UM160;Pendidikan Kewarganegaraan;3;74;B
10110310004;2010;1021;UM222;Bahasa Inggris 2;2;73;B
10110310004;2010;1111;SI210;Pemrograman Visual;3;58;C
10110310004;2010;1111;SI301;Sistem Informasi Manajemen;3;93;A
10110310004;2010;1111;SK304;Probabilitas dan Statistika;3;94;A
