TAHUN;SEMESTER;MATAKULIAH;PERTANYAAN;KETERANGAN;NILAI
2015;1511;IS100 Management Information Systems;1;Kesiapan memberikan perkuliahan/praktikum;3,28
2015;1511;IS100 Management Information Systems;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,25
2015;1511;IS100 Management Information Systems;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,24
2015;1511;IS100 Management Information Systems;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,30
2015;1511;IS100 Management Information Systems;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,27
2015;1511;IS100 Management Information Systems;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,19
2015;1511;IS100 Management Information Systems;7;Memberi review materi  perkuliahan sebelumnya;3,18
2015;1511;IS100 Management Information Systems;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,32
2015;1511;IS100 Management Information Systems;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,29
2015;1511;IS100 Management Information Systems;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,24
2015;1511;IS100 Management Information Systems;11;Kemampuan memotivasi semangat belajar mahasiswa;3,31
2015;1511;IS100 Management Information Systems;12;Kemampuan menerima kritik, saran dan pendapat;3,27
2015;1511;IS100 Management Information Systems;13;Fairness dalam memberikan penilaian;3,26
2015;1511;IS100 Management Information Systems;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,31
2015;1511;IS110 Business Mathematics;1;Kesiapan memberikan perkuliahan/praktikum;3,19
2015;1511;IS110 Business Mathematics;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;2,98
2015;1511;IS110 Business Mathematics;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,08
2015;1511;IS110 Business Mathematics;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,03
2015;1511;IS110 Business Mathematics;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,18
2015;1511;IS110 Business Mathematics;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,05
2015;1511;IS110 Business Mathematics;7;Memberi review materi  perkuliahan sebelumnya;2,91
2015;1511;IS110 Business Mathematics;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,20
2015;1511;IS110 Business Mathematics;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,07
2015;1511;IS110 Business Mathematics;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,07
2015;1511;IS110 Business Mathematics;11;Kemampuan memotivasi semangat belajar mahasiswa;2,97
2015;1511;IS110 Business Mathematics;12;Kemampuan menerima kritik, saran dan pendapat;3,08
2015;1511;IS110 Business Mathematics;13;Fairness dalam memberikan penilaian;3,19
2015;1511;IS110 Business Mathematics;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,22
2015;1511;IS201 Corporate Business Processes;1;Kesiapan memberikan perkuliahan/praktikum;3,27
2015;1511;IS201 Corporate Business Processes;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,18
2015;1511;IS201 Corporate Business Processes;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,16
2015;1511;IS201 Corporate Business Processes;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,25
